id_web;virtual;downloadable;rating_count;average_rating;total_sales;tax_status;post_parent;menu_order
16004;0;0;0;0;5;;0;0
;0;0;0;;;;;
15075;0;0;0;0;3;taxable;0;0
16209;0;0;0;0;6;taxable;0;0
15763;0;0;0;0;1;;0;0
13895;0;0;0;0;0;taxable;0;0
12857;0;0;0;0;0;taxable;0;0
15740;0;0;0;0;0;;0;0
14253;0;0;0;0;0;;0;0
14106;0;0;0;0;0;taxable;0;0
13996;0;0;0;0;2;taxable;0;0
16146;0;0;0;0;3;;0;0
15895;0;0;0;0;0;;0;0
16209;0;0;0;0;6;;0;0
15861;0;0;0;0;1;;0;0
15428;0;0;0;0;7;taxable;0;0
15310;0;0;0;0;14;;0;0
;0;0;0;;;;;
14372;0;0;0;0;0;;0;0
812;0;0;0;0;0;;0;0
7033;0;0;0;0;4;taxable;0;0
7032;0;0;0;0;0;;0;0
16077;0;0;0;0;37;taxable;0;0
16237;0;0;0;0;36;taxable;0;0
16028;0;0;0;0;9;taxable;0;0
1364;0;0;0;0;0;taxable;0;0
13913;0;0;0;0;0;taxable;0;0
15202;0;0;0;0;6;;0;0
15576;0;0;0;0;0;;0;0
19815;0;0;0;0;0;taxable;0;0
15148;0;0;0;0;0;;0;0
15774;0;0;0;0;1;;0;0
14982;0;0;0;0;0;taxable;0;0
15339;0;0;0;0;0;taxable;0;0
15382;0;0;0;0;0;taxable;0;0
15325;0;0;0;0;4;taxable;0;0
15945;0;0;0;0;1;;0;0
14941;0;0;0;0;6;taxable;0;0
15241;0;0;0;0;0;taxable;0;0
12641;0;0;0;0;0;taxable;0;0
16269;0;0;0;0;2;;0;0
12942;0;0;0;0;0;taxable;0;0
15344;0;0;0;0;0;taxable;0;0
15661;0;0;0;0;0;taxable;0;0
16274;0;0;0;0;13;taxable;0;0
14661;0;0;0;0;5;;0;0
15718;0;0;0;0;0;taxable;0;0
14395;0;0;0;0;4;taxable;0;0
15254;0;0;0;0;0;taxable;0;0
16056;0;0;0;0;7;;0;0
14839;0;0;0;0;3;taxable;0;0
13957;0;0;0;0;0;taxable;0;0
15476;0;0;0;0;23;;0;0
16274;0;0;0;0;13;;0;0
13515;0;0;0;0;0;;0;0
15004;0;0;0;0;3;taxable;0;0
15070;0;0;0;0;0;;0;0
15032;0;0;0;0;8;;0;0
16042;0;0;0;0;7;;0;0
16063;0;0;0;0;1;;0;0
11602;0;0;0;0;0;;0;0
16005;0;0;0;0;4;taxable;0;0
16283;0;0;0;0;4;;0;0
15615;0;0;0;0;8;taxable;0;0
15206;0;0;0;0;5;taxable;0;0
13520;0;0;0;0;0;;0;0
19821;0;0;0;0;0;;0;0
15296;0;0;0;0;0;;0;0
